Simulating with QF: 0.31, QN1: 599169.0, QN2: 859353.0, QC: 5.0 -> H2S: 0.122, NH3: 15.027
Simulating with QF: 0.31, QN1: 599169.0, QN2: 859353.0, QC: 5.0 -> H2S: 0.122, NH3: 15.027
Simulating with QF: 0.3, QN1: 598478.0, QN2: 858155.0, QC: 5.0 -> H2S: 0.124, NH3: 15.148
Simulating with QF: 0.3, QN1: 598478.0, QN2: 858155.0, QC: 5.0 -> H2S: 0.124, NH3: 15.148
Simulating with QF: 0.3, QN1: 600288.0, QN2: 856957.0, QC: 5.0 -> H2S: 0.122, NH3: 15.08
Simulating with QF: 0.3, QN1: 600288.0, QN2: 856957.0, QC: 5.0 -> H2S: 0.122, NH3: 15.08
Simulating with QF: 0.3, QN1: 600000.0, QN2: 858471.0, QC: 4.98 -> H2S: 0.12, NH3: 15.004
Simulating with QF: 0.3, QN1: 600000.0, QN2: 858471.0, QC: 4.98 -> H2S: 0.12, NH3: 15.004
Simulating with QF: 0.3, QN1: 599896.0, QN2: 858582.0, QC: 5.0 -> H2S: 0.12, NH3: 14.996
Simulating with QF: 0.3, QN1: 599896.0, QN2: 858582.0, QC: 5.0 -> H2S: 0.12, NH3: 14.996
Simulating with QF: 0.3, QN1: 600000.0, QN2: 858375.0, QC: 5.0 -> H2S: 0.121, NH3: 15.058
Simulating with QF: 0.3, QN1: 600000.0, QN2: 858375.0, QC: 5.0 -> H2S: 0.121, NH3: 15.058
Optimal values: [np.float64(600000.0), np.float64(858471.4767427662), np.float64(5.0), np.float64(0.3)]
Minimum cost: 1458476.4767427663
Number of function evaluations: 31
Optimization success: True
Message: Optimization terminated successfully.
Maximum constraint violation (maxcv): -0.0
Simulating with QF: 0.3, QN1: 600000.0, QN2: 858471.0, QC: 5.0 -> H2S: 0.121, NH3: 15.01
Temperatures: 168.692512, 107.977126, 104.287105
